i	j	kin	ibd0	ibd1	ibd2
{"s":"NA18500"}	{"s":"NA18501"}	1.5928e-01	3.4122e-01	6.8042e-01	-2.1644e-02
{"s":"NA18500"}	{"s":"NA18502"}	1.8250e-01	1.1910e-02	1.0369e+00	-4.8849e-02
{"s":"NA18500"}	{"s":"NA18503"}	-3.4653e-02	1.1676e+00	-1.9649e-01	2.8940e-02
{"s":"NA18500"}	{"s":"NA18504"}	-1.6889e-02	1.0944e+00	-1.2129e-01	2.6868e-02
{"s":"NA18500"}	{"s":"NA18505"}	-3.6604e-02	1.1468e+00	-1.4719e-01	3.8768e-04
{"s":"NA18500"}	{"s":"NA18506"}	1.4271e-02	9.7535e-01	-7.7847e-03	3.2434e-02
{"s":"NA18500"}	{"s":"NA18507"}	9.7715e-03	9.9023e-01	-1.9537e-02	2.9311e-02
{"s":"NA18500"}	{"s":"NA18508"}	1.4495e-02	9.4200e-01	5.8013e-02	-1.6110e-05
{"s":"NA18500"}	{"s":"NA18515"}	-2.5850e-03	1.0445e+00	-7.8595e-02	3.4128e-02
{"s":"NA18500"}	{"s":"NA18516"}	-1.0655e-02	1.0705e+00	-9.8414e-02	2.7898e-02
{"s":"NA18500"}	{"s":"NA18517"}	7.2455e-03	9.7504e-01	2.0942e-02	4.0201e-03
{"s":"NA18500"}	{"s":"NA18521"}	1.6071e-02	9.6555e-01	4.6134e-03	2.9834e-02
{"s":"NA18500"}	{"s":"NA18522"}	4.3903e-02	8.6688e-01	9.0633e-02	4.2489e-02
{"s":"NA18500"}	{"s":"NA18523"}	-1.1471e-02	1.0494e+00	-5.2979e-02	3.5476e-03
{"s":"NA18500"}	{"s":"NA18852"}	2.6056e-03	9.9063e-01	8.3195e-03	1.0514e-03
{"s":"NA18500"}	{"s":"NA18853"}	-1.3336e-02	1.0850e+00	-1.1659e-01	3.1621e-02
{"s":"NA18500"}	{"s":"NA18854"}	-7.9876e-03	1.0625e+00	-9.3083e-02	3.0566e-02
{"s":"NA18500"}	{"s":"NA18855"}	2.5389e-02	9.0366e-01	9.1133e-02	5.2114e-03
{"s":"NA18500"}	{"s":"NA18856"}	-2.8731e-02	1.1491e+00	-1.8324e-01	3.4156e-02
{"s":"NA18500"}	{"s":"NA18857"}	9.4229e-05	1.0331e+00	-6.6658e-02	3.3517e-02
