samples,variants,populations,walltime
1000,1000,10,0.54
1000,1200,10,0.41
1000,1400,10,0.44
1000,1600,10,0.46
1000,1800,10,0.42
1000,2000,10,0.41
1000,2200,10,0.44
1000,2400,10,0.55
1000,2600,10,0.49
1000,2800,10,0.49
1000,3000,10,0.55
1000,3200,10,0.53
1000,3400,10,0.47
1000,3600,10,0.56
1000,3800,10,0.55
1000,4000,10,0.56
1000,4200,10,0.52
1000,4400,10,0.66
1000,4600,10,0.58
1000,4800,10,0.64
1000,5000,10,0.72
1200,1000,10,0.41
1200,1200,10,0.45
1200,1400,10,0.36
1200,1600,10,0.46
1200,1800,10,0.47
1200,2000,10,0.57
1200,2200,10,0.53
1200,2400,10,0.53
1200,2600,10,0.53
1200,2800,10,0.58
1200,3000,10,0.52
1200,3200,10,0.56
1200,3400,10,0.64
1200,3600,10,0.66
1200,3800,10,0.56
1200,4000,10,0.65
1200,4200,10,0.72
1200,4400,10,0.74
1200,4600,10,0.64
1200,4800,10,0.63
1200,5000,10,0.65
1400,1000,10,0.45
1400,1200,10,0.52
1400,1400,10,0.54
1400,1600,10,0.54
1400,1800,10,0.64
1400,2000,10,0.59
1400,2200,10,0.57
1400,2400,10,0.51
1400,2600,10,0.56
1400,2800,10,0.62
1400,3000,10,0.60
1400,3200,10,0.68
1400,3400,10,0.75
1400,3600,10,0.62
1400,3800,10,0.68
1400,4000,10,0.72
1400,4200,10,0.79
1400,4400,10,0.71
1400,4600,10,0.76
1400,4800,10,0.74
1400,5000,10,0.80
1600,1000,10,0.49
1600,1200,10,0.47
1600,1400,10,0.51
1600,1600,10,0.54
1600,1800,10,0.50
1600,2000,10,0.64
1600,2200,10,0.59
1600,2400,10,0.63
1600,2600,10,0.67
1600,2800,10,0.71
1600,3000,10,0.71
1600,3200,10,0.72
1600,3400,10,0.79
1600,3600,10,0.72
1600,3800,10,0.68
1600,4000,10,0.81
1600,4200,10,0.78
1600,4400,10,0.83
1600,4600,10,0.91
1600,4800,10,0.94
1600,5000,10,0.97
1800,1000,10,0.56
1800,1200,10,0.52
1800,1400,10,0.58
1800,1600,10,0.57
1800,1800,10,0.62
1800,2000,10,0.61
1800,2200,10,0.67
1800,2400,10,0.65
1800,2600,10,0.72
1800,2800,10,0.68
1800,3000,10,0.74
1800,3200,10,0.76
1800,3400,10,0.88
1800,3600,10,0.79
1800,3800,10,0.79
1800,4000,10,0.91
1800,4200,10,1.14
1800,4400,10,1.12
1800,4600,10,1.06
1800,4800,10,0.97
1800,5000,10,1.08
2000,1000,10,0.62
2000,1200,10,0.61
2000,1400,10,0.67
2000,1600,10,0.59
2000,1800,10,0.64
2000,2000,10,0.66
2000,2200,10,0.76
2000,2400,10,0.72
2000,2600,10,0.75
2000,2800,10,0.82
2000,3000,10,0.77
2000,3200,10,0.85
2000,3400,10,0.93
2000,3600,10,0.96
2000,3800,10,0.95
2000,4000,10,1.06
2000,4200,10,1.23
2000,4400,10,1.01
2000,4600,10,1.06
2000,4800,10,1.17
2000,5000,10,1.33
2200,1000,10,0.69
2200,1200,10,0.67
2200,1400,10,0.71
2200,1600,10,0.69
2200,1800,10,0.78
2200,2000,10,0.68
2200,2200,10,0.78
2200,2400,10,0.85
2200,2600,10,0.82
2200,2800,10,0.88
2200,3000,10,0.86
2200,3200,10,0.99
2200,3400,10,1.12
2200,3600,10,1.11
2200,3800,10,1.01
2200,4000,10,1.20
2200,4200,10,1.17
2200,4400,10,1.19
2200,4600,10,1.32
2200,4800,10,1.25
2200,5000,10,1.36
2400,1000,10,0.66
2400,1200,10,0.67
2400,1400,10,0.73
2400,1600,10,0.79
2400,1800,10,0.87
2400,2000,10,0.80
2400,2200,10,0.83
2400,2400,10,0.94
2400,2600,10,0.85
2400,2800,10,1.10
2400,3000,10,1.08
2400,3200,10,1.15
2400,3400,10,1.10
2400,3600,10,1.27
2400,3800,10,1.19
