samples,variants,populations,walltime
1000,5000,10,1.87
1500,7500,10,1.54
2000,10000,10,2.44
2500,12500,10,4.03
3000,15000,10,5.61
3500,17500,10,8.00
4000,20000,10,10.99
4500,22500,10,13.69
5000,25000,10,16.98
5500,27500,10,20.12
6000,30000,10,24.71
6500,32500,10,30.22
7000,35000,10,36.49
7500,37500,10,45.58
8000,40000,10,54.18
8500,42500,10,64.77
9000,45000,10,73.19
9500,47500,10,88.23
10000,50000,10,97.84
10500,52500,10,119.14
11000,55000,10,133.72
11500,57500,10,151.69
12000,60000,10,218.11
12500,62500,10,319.42
13000,65000,10,336.11
