samples,variants,populations,walltime
1000,5000,10,1.26
1500,7500,10,2.18
2000,10000,10,5.20
2500,12500,10,9.35
3000,15000,10,15.39
3500,17500,10,22.54
4000,20000,10,32.53
4500,22500,10,43.85
5000,25000,10,58.39
5500,27500,10,77.46
6000,30000,10,98.65
6500,32500,10,123.39
7000,35000,10,152.13
7500,37500,10,187.14
8000,40000,10,223.47
8500,42500,10,268.43
9000,45000,10,311.69
9500,47500,10,364.02
10000,50000,10,418.36
10500,52500,10,491.80
11000,55000,10,559.03
11500,57500,10,636.97
12000,60000,10,845.09
12500,62500,10,961.83
13000,65000,10,1140.25
