samples,variants,populations,walltime
1000,2000,10,1.57
1200,2000,10,0.75
1400,2000,10,1.36
1600,2000,10,1.02
1800,2000,10,0.94
2000,2000,10,1.07
2200,2000,10,1.17
2400,2000,10,1.24
2600,2000,10,1.26
2800,2000,10,1.31
3000,2000,10,1.63
3200,2000,10,1.75
3400,2000,10,1.82
3600,2000,10,1.95
3800,2000,10,2.09
4000,2000,10,2.21
4200,2000,10,2.49
4400,2000,10,2.55
4600,2000,10,2.87
4800,2000,10,2.93
5000,2000,10,3.14
5200,2000,10,3.21
5400,2000,10,3.48
5600,2000,10,3.63
5800,2000,10,3.78
6000,2000,10,3.91
6200,2000,10,4.30
6400,2000,10,4.55
6600,2000,10,4.67
6800,2000,10,5.06
7000,2000,10,5.29
7200,2000,10,5.44
7400,2000,10,5.61
7600,2000,10,5.77
7800,2000,10,6.25
8000,2000,10,6.40
8200,2000,10,6.75
8400,2000,10,7.25
8600,2000,10,7.15
8800,2000,10,7.50
9000,2000,10,7.79
9200,2000,10,8.23
9400,2000,10,8.36
9600,2000,10,8.71
9800,2000,10,8.78
10000,2000,10,9.43
