samples,variants,populations,walltime
1000,2000,10,0.50
1200,2000,10,0.58
1400,2000,10,0.73
1600,2000,10,0.86
1800,2000,10,1.01
2000,2000,10,1.18
2200,2000,10,1.36
2400,2000,10,1.55
2600,2000,10,1.73
2800,2000,10,2.03
3000,2000,10,2.34
3200,2000,10,2.61
3400,2000,10,2.85
3600,2000,10,3.18
3800,2000,10,3.57
4000,2000,10,3.86
4200,2000,10,4.18
4400,2000,10,4.48
4600,2000,10,4.92
4800,2000,10,5.32
5000,2000,10,5.65
5200,2000,10,6.08
5400,2000,10,6.50
5600,2000,10,7.08
5800,2000,10,7.59
6000,2000,10,8.07
6200,2000,10,8.51
6400,2000,10,9.35
6600,2000,10,9.61
6800,2000,10,10.19
7000,2000,10,10.65
7200,2000,10,11.33
7400,2000,10,11.81
7600,2000,10,12.57
7800,2000,10,13.11
8000,2000,10,13.84
8200,2000,10,14.54
8400,2000,10,15.31
8600,2000,10,15.88
8800,2000,10,16.39
9000,2000,10,17.08
9200,2000,10,17.94
9400,2000,10,18.60
9600,2000,10,19.58
9800,2000,10,20.14
10000,2000,10,21.54
