samples,variants,populations,walltime
1000,2000,10,0.42
1200,2000,10,0.52
1400,2000,10,0.54
1600,2000,10,0.51
1800,2000,10,0.65
2000,2000,10,0.64
2200,2000,10,0.81
2400,2000,10,0.89
2600,2000,10,0.90
2800,2000,10,1.01
3000,2000,10,1.10
3200,2000,10,1.22
3400,2000,10,1.21
3600,2000,10,1.41
3800,2000,10,1.36
4000,2000,10,1.59
4200,2000,10,1.67
4400,2000,10,1.75
4600,2000,10,1.79
4800,2000,10,2.05
5000,2000,10,2.16
5200,2000,10,2.10
5400,2000,10,2.34
5600,2000,10,2.54
5800,2000,10,2.62
6000,2000,10,2.79
6200,2000,10,2.83
6400,2000,10,2.99
6600,2000,10,3.14
6800,2000,10,3.19
7000,2000,10,3.38
7200,2000,10,3.58
7400,2000,10,3.81
7600,2000,10,3.99
7800,2000,10,4.11
8000,2000,10,4.45
8200,2000,10,4.47
8400,2000,10,4.69
8600,2000,10,4.77
8800,2000,10,5.01
9000,2000,10,4.97
9200,2000,10,5.22
9400,2000,10,5.50
9600,2000,10,5.84
9800,2000,10,5.77
10000,2000,10,6.17
