samples,variants,populations,walltime
1000,2000,10,0.55
1200,2000,10,0.53
1400,2000,10,0.59
1600,2000,10,0.71
1800,2000,10,0.76
2000,2000,10,0.71
2200,2000,10,0.87
2400,2000,10,0.79
2600,2000,10,0.86
2800,2000,10,0.94
3000,2000,10,1.17
3200,2000,10,1.17
3400,2000,10,1.33
3600,2000,10,1.30
3800,2000,10,1.52
4000,2000,10,1.65
4200,2000,10,1.74
4400,2000,10,1.69
4600,2000,10,1.82
4800,2000,10,2.07
5000,2000,10,2.17
5200,2000,10,2.16
5400,2000,10,2.35
5600,2000,10,2.43
5800,2000,10,2.66
6000,2000,10,2.66
6200,2000,10,2.88
6400,2000,10,3.20
6600,2000,10,3.27
6800,2000,10,3.59
7000,2000,10,3.54
7200,2000,10,3.64
7400,2000,10,3.80
7600,2000,10,3.94
7800,2000,10,4.08
8000,2000,10,4.31
8200,2000,10,4.23
8400,2000,10,4.48
8600,2000,10,4.77
8800,2000,10,5.27
9000,2000,10,5.06
9200,2000,10,5.37
9400,2000,10,5.50
9600,2000,10,5.88
9800,2000,10,5.76
10000,2000,10,6.10
