samples,variants,populations,walltime
1000,2000,10,0.29
1200,2000,10,0.38
1400,2000,10,0.47
1600,2000,10,0.59
1800,2000,10,0.70
2000,2000,10,0.83
2200,2000,10,0.98
2400,2000,10,1.17
2600,2000,10,1.38
2800,2000,10,1.53
3000,2000,10,1.74
3200,2000,10,1.98
3400,2000,10,2.13
3600,2000,10,2.39
3800,2000,10,2.64
4000,2000,10,2.85
4200,2000,10,3.14
4400,2000,10,3.45
4600,2000,10,3.72
4800,2000,10,4.05
5000,2000,10,4.36
5200,2000,10,4.71
5400,2000,10,5.08
5600,2000,10,5.51
5800,2000,10,5.81
6000,2000,10,6.17
6200,2000,10,6.55
6400,2000,10,7.06
6600,2000,10,7.35
6800,2000,10,7.77
7000,2000,10,8.19
7200,2000,10,8.70
7400,2000,10,10.26
7600,2000,10,9.58
7800,2000,10,10.06
8000,2000,10,10.65
8200,2000,10,11.19
8400,2000,10,11.59
8600,2000,10,12.05
8800,2000,10,12.71
9000,2000,10,13.15
9200,2000,10,13.76
9400,2000,10,14.31
9600,2000,10,15.12
9800,2000,10,15.61
10000,2000,10,16.20
